statement_id,witness_id,stage,raw_text,cleaned_text,entity_person,entity_time,entity_location,entity_event,text_similarity_score,time_inconsistency_flag,location_inconsistency_flag,entity_contradiction_flag,risk_level,preparedness_level
S19,W09,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S20,W10,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S21,W01,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S22,W02,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S23,W03,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S24,W04,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S25,W05,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S26,W06,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S27,W07,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S28,W08,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S29,W09,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S30,W10,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S31,W01,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S32,W02,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S33,W03,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S34,W04,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S35,W05,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S36,W06,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S37,W07,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S38,W08,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S39,W09,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S40,W10,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S41,W01,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S42,W02,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S43,W03,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S44,W04,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S45,W05,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S46,W06,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S47,W07,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S48,W08,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S49,W09,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S50,W10,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S51,W01,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S52,W02,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S53,W03,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S54,W04,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S55,W05,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S56,W06,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S57,W07,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S58,W08,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S59,W09,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S60,W10,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S61,W01,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S62,W02,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S63,W03,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S64,W04,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S65,W05,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S66,W06,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S67,W07,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S68,W08,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S69,W09,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S70,W10,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S71,W01,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S72,W02,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S73,W03,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S74,W04,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S75,W05,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S76,W06,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S77,W07,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S78,W08,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S79,W09,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S80,W10,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S81,W01,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S82,W02,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S83,W03,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S84,W04,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S85,W05,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S86,W06,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S87,W07,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S88,W08,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S89,W09,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S90,W10,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S91,W01,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S92,W02,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S93,W03,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S94,W04,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S95,W05,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S96,W06,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S97,W07,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S98,W08,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S99,W09,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S100,W10,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S101,W01,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S102,W02,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S103,W03,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S104,W04,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S105,W05,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S106,W06,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S107,W07,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S108,W08,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S109,W09,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S110,W10,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S111,W01,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S112,W02,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S113,W03,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S114,W04,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S115,W05,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S116,W06,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S117,W07,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S118,W08,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S119,W09,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S120,W10,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S121,W01,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S122,W02,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S123,W03,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S124,W04,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S125,W05,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S126,W06,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S127,W07,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S128,W08,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S129,W09,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S130,W10,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S131,W01,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S132,W02,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S133,W03,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S134,W04,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S135,W05,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S136,W06,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S137,W07,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S138,W08,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S139,W09,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S140,W10,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S141,W01,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S142,W02,cross_examination,"Did you inform the police immediately? No, I informed the police the next morning.","did you inform the police immediately? no, i informed the police the next morning.",[],[],[],[],,,,,,
S143,W03,examination,How are you related to the victim? The victim was my neighbor.,how are you related to the victim? the victim was my neighbor.,[],[],[],[],,,,,,
S144,W04,cross_examination,"Are you stating this based on what others told you? Yes, some facts were told to me by others.","are you stating this based on what others told you? yes, some facts were told to me by others.",[],[],[],[],,,,,,
S145,W05,examination,Where were you at the time of the incident? I was present near the place of occurrence.,where were you at the time of the incident? i was present near the place of occurrence.,[],[],[],[],,,,,,
S146,W06,examination,At what time did the incident occur? The incident occurred at about 7:30 PM.,at what time did the incident occur? the incident occurred at about 7:30 pm.,[],[],[],[],,,,,,
S147,W07,examination,"Did you see the accused at the spot? Yes, I saw the accused near the victim.","did you see the accused at the spot? yes, i saw the accused near the victim.",[],[],[],[],,,,,,
S148,W08,cross_examination,"Was it dark at that time? Yes, it was getting dark.","was it dark at that time? yes, it was getting dark.",[],[],[],[],,,,,,
S149,W09,cross_examination,"Can you identify the accused with certainty? I believe it was him, but I cannot be completely sure.","can you identify the accused with certainty? i believe it was him, but i cannot be completely sure.",[],[],[],[],,,,,,
S150,W10,examination,What weapon did the accused carry? The accused was carrying a wooden stick.,what weapon did the accused carry? the accused was carrying a wooden stick.,[],[],[],[],,,,,,
S151,W07,examination,On what date and time did the incident take place? The incident took place on 08.09.1992 at about 12:15 PM.,on what date and time did the incident take place? the incident took place on 08.09.1992 at about 12:15 pm.,[],[],[],[],,,,,,
S152,W07,examination,Where were you going at the time of the incident? I was going to Darbhanga along with the deceased.,where were you going at the time of the incident? i was going to darbhanga along with the deceased.,[],[],[],[],,,,,,
S153,W07,examination,"How much money were you carrying and for what purpose? I was carrying Rs.7,500 in my bag for purchasing tractor spare parts and for medical treatment.","how much money were you carrying and for what purpose? i was carrying rs.7,500 in my bag for purchasing tractor spare parts and for medical treatment.",[],[],[],[],,,,,,
S154,W07,examination,"Where did the incident occur? The incident occurred in front of the house of accused Tripit Narayan Jha at village Antaur under P.S. Bahera, district Darbhanga.","where did the incident occur? the incident occurred in front of the house of accused tripit narayan jha at village antaur under p.s. bahera, district darbhanga.",[],[],[],[],,,,,,
S155,W07,examination,What happened when you reached the place of occurrence? All five accused persons were sitting there and accused Tripit Narayan Jha ordered the others to kill us.,what happened when you reached the place of occurrence? all five accused persons were sitting there and accused tripit narayan jha ordered the others to kill us.,[],[],[],[],,,,,,
S156,W07,examination,"Which accused persons were armed and with what weapons? Arun Kumar Jha, Palan Jha and Sitaram Jha were armed with farsa, and Durganand Jha was armed with lathi.","which accused persons were armed and with what weapons? arun kumar jha, palan jha and sitaram jha were armed with farsa, and durganand jha was armed with lathi.",[],[],[],[],,,,,,
S157,W07,examination,"What injury was caused to the deceased? Arun Kumar Jha gave a farsa blow on the head of the deceased, causing a head injury and fall.","what injury was caused to the deceased? arun kumar jha gave a farsa blow on the head of the deceased, causing a head injury and fall.",[],[],[],[],,,,,,
S158,W07,examination,"Were you also assaulted during the incident? Yes, Sitaram Jha attempted a farsa blow on my neck, which struck my leg and caused a cut injury.","were you also assaulted during the incident? yes, sitaram jha attempted a farsa blow on my neck, which struck my leg and caused a cut injury.",[],[],[],[],,,,,,
S159,W07,examination,"Did anyone come to rescue you during the incident? Yes, my nephew Manoj Kumar Jha came for rescue but was assaulted and injured on both wrists.","did anyone come to rescue you during the incident? yes, my nephew manoj kumar jha came for rescue but was assaulted and injured on both wrists.",[],[],[],[],,,,,,
S160,W07,examination,"Was any property taken during the incident? Tripit Narayan Jha snatched my bag containing Rs.7,500 and Durganand Jha took the wrist watch of the deceased.","was any property taken during the incident? tripit narayan jha snatched my bag containing rs.7,500 and durganand jha took the wrist watch of the deceased.",[],[],[],[],,,,,,
S161,W07,examination,What happened after the assault? Prosecution witnesses arrived and chased away the accused persons.,what happened after the assault? prosecution witnesses arrived and chased away the accused persons.,[],[],[],[],,,,,,
S162,W07,examination,What was the motive for the occurrence? The motive was a dispute arising out of exchange of lands between the parties.,what was the motive for the occurrence? the motive was a dispute arising out of exchange of lands between the parties.,[],[],[],[],,,,,,
S163,W01,examination,What did public persons and neighbors do when the accused were present? They apprehended the accused persons.,what did public persons and neighbors do when the accused were present? they apprehended the accused persons.,[],[],[],[],,,,,,
S164,W01,cross_examination,"Did you say the lock was broken and lying on the ground? Yes, I said the lock was broken and lying on the ground.","did you say the lock was broken and lying on the ground? yes, i said the lock was broken and lying on the ground.",[],[],[],[],,,,,,
S165,W01,cross_examination,"Do the photographs show the lock lying on the ground? No, the photographs do not show the lock lying on the ground.","do the photographs show the lock lying on the ground? no, the photographs do not show the lock lying on the ground.",[],[],[],[],,,,,,
S166,W01,examination,"Were you threatened before the accused took your money? Yes, I was threatened with false implication before they took my money.","were you threatened before the accused took your money? yes, i was threatened with false implication before they took my money.",[],[],[],[],,,,,,
S167,W01,examination,What happened to your money during the incident? The accused took the money out of my pocket.,what happened to your money during the incident? the accused took the money out of my pocket.,[],[],[],[],,,,,,
S168,W01,examination,"Did your original complaint mention confinement? Yes, my initial complaint included wrongful confinement.","did your original complaint mention confinement? yes, my initial complaint included wrongful confinement.",[],[],[],[],,,,,,
S169,W02,examination,What did you witness at 03:30 p.m. near the accused’s house? I saw the accused inflicting blows on Mazidur Rahman with a dao and he died on the spot.,what did you witness at 03:30 p.m. near the accused’s house? i saw the accused inflicting blows on mazidur rahman with a dao and he died on the spot.,[],[],[],[],,,,,,
S170,W02,examination,When did you file FIR after the incident? I filed the FIR on the same day of the incident.,when did you file fir after the incident? i filed the fir on the same day of the incident.,[],[],[],[],,,,,,
S171,W02,cross_examination,How far is your house from the place of occurrence? About half a kilometre away.,how far is your house from the place of occurrence? about half a kilometre away.,[],[],[],[],,,,,,
S172,W02,cross_examination,What happened when the accused threatened you? I ran up to about one hundred metres from the place of occurrence to avoid him.,what happened when the accused threatened you? i ran up to about one hundred metres from the place of occurrence to avoid him.,[],[],[],[],,,,,,
S173,W01,examination,What duty were you on when the incident occurred? I was on patrolling duty with Constable Kuldeep.,what duty were you on when the incident occurred? i was on patrolling duty with constable kuldeep.,[],[],[],[],,,,,,
